State,District,Population,Confirmed,Deceased,Recovered,Tested,Vaccinated1,Vaccinated2
RJ,Dausa,1637226,13351,62,13289,61680,941513,395584
RJ,Dholpur,1207293,11010,48,10962,121308,660103,279501
RJ,Dungarpur,1388906,18407,131,18276,121917,737200,349762
RJ,Ganganagar,1969520,19354,150,19203,80706,1278952,525137
RJ,Hanumangarh,1779650,16053,111,15942,82542,1230511,588688
RJ,Jaipur,6663971,187804,1970,185816,968783,4582410,2189042
RJ,Jaisalmer,672008,13639,66,13573,80082,416014,194163
RJ,Jalore,1830151,10067,72,9995,184172,987519,393953
RJ,Jhalawar,1411327,13612,187,13425,97163,922646,363082
RJ,Jhunjhunu,2139658,14811,158,14653,123433,1449967,787196
RJ,Jodhpur,3685681,112412,1103,111308,600959,2263325,1036743
RJ,Karauli,1458459,7156,70,7086,64481,813922,395700
RJ,Kota,1950491,57053,449,56603,355509,1269245,655588
RJ,Nagaur,3309234,17737,177,17560,229822,2077555,1016874
RJ,Pali,2038533,27324,287,27037,179463,1200554,513058
RJ,Pratapgarh,868231,7143,63,7080,52208,655140,345189
RJ,Rajsamand,1158283,17044,169,16875,91975,691497,299553
RJ,Sawai Madhopur,1338114,10618,61,10557,84683,756544,347992
RJ,Sikar,2677737,30618,335,30283,165042,1838263,821713
RJ,Sirohi,1037185,13732,79,13653,84616,610090,348789
RJ,Tonk,1421711,9498,92,9406,74225,884688,419023
RJ,Udaipur,3067549,56405,753,55652,251522,1715072,854773
SK,East Sikkim,281293,0,0,0,0,263526,229361
SK,North Sikkim,43354,0,0,0,0,33137,27820
SK,South Sikkim,146742,0,0,0,0,121481,105432
SK,West Sikkim,136299,0,0,0,0,103619,88896
TG,Adilabad,708952,0,0,0,0,376263,89337
TG,Bhadradri Kothagudem,1304811,0,0,0,0,599183,204318
TG,Hyderabad,3441992,0,0,0,0,3150245,1893217
TG,Jagtial,983414,0,0,0,0,580926,190526
TG,Jangaon,582457,0,0,0,0,327527,128207
TG,Jayashankar Bhupalapally,712257,0,0,0,0,262313,127108
TG,Jogulamba Gadwal,664971,0,0,0,0,306919,59886
TG,Kamareddy,972625,0,0,0,0,557684,183176
TG,Karimnagar,1016063,0,0,0,0,657167,384862
TG,Khammam,1401639,0,0,0,0,856707,333812
TG,Komaram Bheem,515835,0,0,0,0,275644,51593
TG,Mahabubabad,1318110,0,0,0,0,468199,172007
TG,Mahabubnagar,1318110,0,0,0,0,482547,150640
TG,Mancherial,807037,0,0,0,0,480069,170258
TG,Medak,767428,0,0,0,0,458648,140778
TG,Medchal Malkajgiri,2542203,0,0,0,0,2149958,1317832
TG,Mulugu,294671,0,0,0,0,186104,76648
TG,Nagarkurnool,893308,0,0,0,0,464888,106589
TG,Nalgonda,1631399,0,0,0,0,891308,254218
TG,Narayanpet,566874,0,0,0,0,288388,50219
TG,Nirmal,709415,0,0,0,0,378315,130107
TG,Nizamabad,1534428,0,0,0,0,858574,250862
TG,Peddapalli,795332,0,0,0,0,463510,201940
TG,Rajanna Sircilla,546121,0,0,0,0,372065,144680
TG,Ranga Reddy,2551731,0,0,0,0,2348542,1291404
TG,Sangareddy,1527628,0,0,0,0,851395,299316
TG,Siddipet,993376,0,0,0,0,582450,242462
TG,Suryapet,1099560,0,0,0,0,610724,208278
TG,Vikarabad,881250,0,0,0,0,427669,87989
TG,Wanaparthy,751553,0,0,0,0,289412,81870
TG,Warangal Rural,716457,0,0,0,0,342881,105289
TG,Warangal Urban,1135707,0,0,0,0,687410,418947
TG,Yadadri Bhuvanagiri,726465,0,0,0,0,463854,223506
TN,Ariyalur,752481,16854,261,16548,18285,475390,157166
TN,Chengalpattu,2556244,171777,2506,168327,51771,1337641,604784
TN,Chennai,7100000,554672,8546,544701,2667777,4532809,2671294
TN,Coimbatore,3472578,246780,2416,243070,102107,2717202,1205484
TN,Cuddalore,2600880,64085,867,62997,36434,1529591,646400
